Finished,ResponseId,Q1,Q2,Q3,Q4,Q5,Q6_0_GROUP,Q6_1_GROUP,Q6_2_GROUP,Q6_0_1_RANK,Q6_0_2_RANK,Q6_0_3_RANK,Q6_0_4_RANK,Q6_0_5_RANK,Q6_0_6_RANK,Q6_1_1_RANK,Q6_1_2_RANK,Q6_1_3_RANK,Q6_1_4_RANK,Q6_1_5_RANK,Q6_1_6_RANK,Q6_2_1_RANK,Q6_2_2_RANK,Q6_2_3_RANK,Q6_2_4_RANK,Q6_2_5_RANK,Q6_2_6_RANK,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16_0_GROUP,Q16_1_GROUP,Q16_2_GROUP,Q16_0_1_RANK,Q16_0_2_RANK,Q16_0_3_RANK,Q16_0_4_RANK,Q16_0_5_RANK,Q16_1_1_RANK,Q16_1_2_RANK,Q16_1_3_RANK,Q16_1_4_RANK,Q16_1_5_RANK,Q16_2_1_RANK,Q16_2_2_RANK,Q16_2_3_RANK,Q16_2_4_RANK,Q16_2_5_RANK,Q17_0_GROUP,Q17_1_GROUP,Q17_2_GROUP,Q17_3_GROUP,Q17_4_GROUP,Q17_0_1_RANK,Q17_0_2_RANK,Q17_0_3_RANK,Q17_0_4_RANK,Q17_0_5_RANK,Q17_0_6_RANK,Q17_0_7_RANK,Q17_1_1_RANK,Q17_1_2_RANK,Q17_1_3_RANK,Q17_1_4_RANK,Q17_1_5_RANK,Q17_1_6_RANK,Q17_1_7_RANK,Q17_2_1_RANK,Q17_2_2_RANK,Q17_2_3_RANK,Q17_2_4_RANK,Q17_2_5_RANK,Q17_2_6_RANK,Q17_2_7_RANK,Q17_3_1_RANK,Q17_3_2_RANK,Q17_3_3_RANK,Q17_3_4_RANK,Q17_3_5_RANK,Q17_3_6_RANK,Q17_3_7_RANK,Q17_4_1_RANK,Q17_4_2_RANK,Q17_4_3_RANK,Q17_4_4_RANK,Q17_4_5_RANK,Q17_4_6_RANK,Q17_4_7_RANK,Q18,Q19_0_GROUP,Q19_1_GROUP,Q19_2_GROUP,Q19_0_1_RANK,Q19_0_2_RANK,Q19_0_3_RANK,Q19_0_4_RANK,Q19_0_5_RANK,Q19_0_6_RANK,Q19_0_7_RANK,Q19_0_8_RANK,Q19_1_1_RANK,Q19_1_2_RANK,Q19_1_3_RANK,Q19_1_4_RANK,Q19_1_5_RANK,Q19_1_6_RANK,Q19_1_7_RANK,Q19_1_8_RANK,Q19_2_1_RANK,Q19_2_2_RANK,Q19_2_3_RANK,Q19_2_4_RANK,Q19_2_5_RANK,Q19_2_6_RANK,Q19_2_7_RANK,Q19_2_8_RANK,Q20
Finished,Response ID,How many years of experience do you have in cybersecurity and information security?,What best describes your primary role? (Select all that apply) - Selected Choice,What kind of organizations have you typically assessed? (Select all that apply) - Selected Choice,What job titles or departments do you find MOST susceptible to spear phishing? (Select all that apply) - Selected Choice,What job titles or departments do you find LEAST susceptible to spear phishing? (Select all that apply) - Selected Choice,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Groups - Drag choice 1 here,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Groups - Drag choice 2 here,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Groups - Drag choice 3 here,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 1 here - Access level - Rank,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 1 here - Visibility/exposure of information on employee - Rank,"What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 1 here - Personality traits (e.g., over-sharer) - Rank",What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 1 here - Past breach involvement - Rank,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 1 here - Responsiveness or email behavior - Rank,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 1 here - Other (text box) - Rank,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 2 here - Access level - Rank,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 2 here - Visibility/exposure of information on employee - Rank,"What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 2 here - Personality traits (e.g., over-sharer) - Rank",What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 2 here - Past breach involvement - Rank,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 2 here - Responsiveness or email behavior - Rank,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 2 here - Other (text box) - Rank,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 3 here - Access level - Rank,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 3 here - Visibility/exposure of information on employee - Rank,"What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 3 here - Personality traits (e.g., over-sharer) - Rank",What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 3 here - Past breach involvement - Rank,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 3 here - Responsiveness or email behavior - Rank,What factors make you choose one employee over another during an engagement? (Rank up to 3) - Ranks - Drag choice 3 here - Other (text box) - Rank,What indicators make an employee more likely to engage? (Select all that apply) - Selected Choice,Do you believe industry-specific norms affect how you craft your phish?,Have you observed differences in success rates across industries or regions? - Selected Choice,Do you believe the time of day/week affects phishing success rates?,Which of the following factors do you typically consider when designing a pretext? (Select all that apply) - Selected Choice,When do you typically send a phishing email for best results? (Select all that apply) - Selected Choice,Which OSINT sources do you typically use when selecting an employee or crafting a pretext? (Select all that apply) - Selected Choice,Do you use tools or automation for OSINT or persona enrichment?,Do you personalize pretexts by mimicking internal language or company culture?,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Groups - Drag choice 1 here,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Groups - Drag choice 2 here,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Groups - Drag choice 3 here,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 1 here - Reuse known/real internal personas - Rank,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 1 here - Create realistic but fake personas - Rank,"How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 1 here - Use external or third-party personas (e.g., vendors, recruiters) - Rank",How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 1 here - Keep sender vague or generic - Rank,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 1 here - It depends (text box) - Rank,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 2 here - Reuse known/real internal personas - Rank,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 2 here - Create realistic but fake personas - Rank,"How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 2 here - Use external or third-party personas (e.g., vendors, recruiters) - Rank",How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 2 here - Keep sender vague or generic - Rank,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 2 here - It depends (text box) - Rank,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 3 here - Reuse known/real internal personas - Rank,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 3 here - Create realistic but fake personas - Rank,"How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 3 here - Use external or third-party personas (e.g., vendors, recruiters) - Rank",How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 3 here - Keep sender vague or generic - Rank,How do you approach persona crafting for the sender of a phishing email? (Rank up to 3) - Ranks - Drag choice 3 here - It depends (text box) - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Groups - Drag choice 1 here,Which psychological levers do you find most effective? (Rank up to 5) - Groups - Drag choice 2 here,Which psychological levers do you find most effective? (Rank up to 5) - Groups - Drag choice 3 here,Which psychological levers do you find most effective? (Rank up to 5) - Groups - Drag choice 4 here,Which psychological levers do you find most effective? (Rank up to 5) - Groups - Drag choice 5 here,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 1 here - Scarcity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 1 here - Authority - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 1 here - Peer influence/herd behavior - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 1 here - Reciprocity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 1 here - Commitment/consistency - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 1 here - Curiosity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 1 here - Fear - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 2 here - Scarcity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 2 here - Authority - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 2 here - Peer influence/herd behavior - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 2 here - Reciprocity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 2 here - Commitment/consistency - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 2 here - Curiosity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 2 here - Fear - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 3 here - Scarcity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 3 here - Authority - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 3 here - Peer influence/herd behavior - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 3 here - Reciprocity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 3 here - Commitment/consistency - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 3 here - Curiosity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 3 here - Fear - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 4 here - Scarcity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 4 here - Authority - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 4 here - Peer influence/herd behavior - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 4 here - Reciprocity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 4 here - Commitment/consistency - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 4 here - Curiosity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 4 here - Fear - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 5 here - Scarcity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 5 here - Authority - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 5 here - Peer influence/herd behavior - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 5 here - Reciprocity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 5 here - Commitment/consistency - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 5 here - Curiosity - Rank,Which psychological levers do you find most effective? (Rank up to 5) - Ranks - Drag choice 5 here - Fear - Rank,"How important is emotional tone in your messaging (e.g., urgency, trust, fear)?",What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Groups - Drag choice 1 here,What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Groups - Drag choice 2 here,What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Groups - Drag choice 3 here,What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 1 here - Matches the recipient's job duties - Rank,What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 1 here - Uses real names or departments - Rank,What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 1 here - Mimics internal tone or style - Rank,"What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 1 here - Comes from a familiar sender type (e.g., HR, IT) - Rank",What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 1 here - Has a plausible call to action - Rank,"What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 1 here - Avoids obvious red flags (spelling, bad formatting) - Rank","What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 1 here - Includes known tools/services (e.g., DocuSign, Zoom) - Rank",What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 1 here - Other (text box) - Rank,What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 2 here - Matches the recipient's job duties - Rank,What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 2 here - Uses real names or departments - Rank,What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 2 here - Mimics internal tone or style - Rank,"What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 2 here - Comes from a familiar sender type (e.g., HR, IT) - Rank",What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 2 here - Has a plausible call to action - Rank,"What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 2 here - Avoids obvious red flags (spelling, bad formatting) - Rank","What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 2 here - Includes known tools/services (e.g., DocuSign, Zoom) - Rank",What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 2 here - Other (text box) - Rank,What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 3 here - Matches the recipient's job duties - Rank,What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 3 here - Uses real names or departments - Rank,What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 3 here - Mimics internal tone or style - Rank,"What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 3 here - Comes from a familiar sender type (e.g., HR, IT) - Rank",What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 3 here - Has a plausible call to action - Rank,"What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 3 here - Avoids obvious red flags (spelling, bad formatting) - Rank","What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 3 here - Includes known tools/services (e.g., DocuSign, Zoom) - Rank",What makes a pretext feel “credible” or “natural” to an employee? (Rank up to 3) - Ranks - Drag choice 3 here - Other (text box) - Rank,Which of the following metrics do you typically track to measure campaign success? (Select all that apply) - Selected Choice
"{""ImportId"":""finished""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID12_0_GROUP""}","{""ImportId"":""QID12_1_GROUP""}","{""ImportId"":""QID12_2_GROUP""}","{""ImportId"":""QID12_G0_1_RANK""}","{""ImportId"":""QID12_G0_2_RANK""}","{""ImportId"":""QID12_G0_3_RANK""}","{""ImportId"":""QID12_G0_4_RANK""}","{""ImportId"":""QID12_G0_5_RANK""}","{""ImportId"":""QID12_G0_6_RANK""}","{""ImportId"":""QID12_G1_1_RANK""}","{""ImportId"":""QID12_G1_2_RANK""}","{""ImportId"":""QID12_G1_3_RANK""}","{""ImportId"":""QID12_G1_4_RANK""}","{""ImportId"":""QID12_G1_5_RANK""}","{""ImportId"":""QID12_G1_6_RANK""}","{""ImportId"":""QID12_G2_1_RANK""}","{""ImportId"":""QID12_G2_2_RANK""}","{""ImportId"":""QID12_G2_3_RANK""}","{""ImportId"":""QID12_G2_4_RANK""}","{""ImportId"":""QID12_G2_5_RANK""}","{""ImportId"":""QID12_G2_6_RANK""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_0_GROUP""}","{""ImportId"":""QID22_1_GROUP""}","{""ImportId"":""QID22_2_GROUP""}","{""ImportId"":""QID22_G0_1_RANK""}","{""ImportId"":""QID22_G0_2_RANK""}","{""ImportId"":""QID22_G0_3_RANK""}","{""ImportId"":""QID22_G0_4_RANK""}","{""ImportId"":""QID22_G0_5_RANK""}","{""ImportId"":""QID22_G1_1_RANK""}","{""ImportId"":""QID22_G1_2_RANK""}","{""ImportId"":""QID22_G1_3_RANK""}","{""ImportId"":""QID22_G1_4_RANK""}","{""ImportId"":""QID22_G1_5_RANK""}","{""ImportId"":""QID22_G2_1_RANK""}","{""ImportId"":""QID22_G2_2_RANK""}","{""ImportId"":""QID22_G2_3_RANK""}","{""ImportId"":""QID22_G2_4_RANK""}","{""ImportId"":""QID22_G2_5_RANK""}","{""ImportId"":""QID23_0_GROUP""}","{""ImportId"":""QID23_1_GROUP""}","{""ImportId"":""QID23_2_GROUP""}","{""ImportId"":""QID23_3_GROUP""}","{""ImportId"":""QID23_4_GROUP""}","{""ImportId"":""QID23_G0_1_RANK""}","{""ImportId"":""QID23_G0_2_RANK""}","{""ImportId"":""QID23_G0_3_RANK""}","{""ImportId"":""QID23_G0_4_RANK""}","{""ImportId"":""QID23_G0_5_RANK""}","{""ImportId"":""QID23_G0_6_RANK""}","{""ImportId"":""QID23_G0_7_RANK""}","{""ImportId"":""QID23_G1_1_RANK""}","{""ImportId"":""QID23_G1_2_RANK""}","{""ImportId"":""QID23_G1_3_RANK""}","{""ImportId"":""QID23_G1_4_RANK""}","{""ImportId"":""QID23_G1_5_RANK""}","{""ImportId"":""QID23_G1_6_RANK""}","{""ImportId"":""QID23_G1_7_RANK""}","{""ImportId"":""QID23_G2_1_RANK""}","{""ImportId"":""QID23_G2_2_RANK""}","{""ImportId"":""QID23_G2_3_RANK""}","{""ImportId"":""QID23_G2_4_RANK""}","{""ImportId"":""QID23_G2_5_RANK""}","{""ImportId"":""QID23_G2_6_RANK""}","{""ImportId"":""QID23_G2_7_RANK""}","{""ImportId"":""QID23_G3_1_RANK""}","{""ImportId"":""QID23_G3_2_RANK""}","{""ImportId"":""QID23_G3_3_RANK""}","{""ImportId"":""QID23_G3_4_RANK""}","{""ImportId"":""QID23_G3_5_RANK""}","{""ImportId"":""QID23_G3_6_RANK""}","{""ImportId"":""QID23_G3_7_RANK""}","{""ImportId"":""QID23_G4_1_RANK""}","{""ImportId"":""QID23_G4_2_RANK""}","{""ImportId"":""QID23_G4_3_RANK""}","{""ImportId"":""QID23_G4_4_RANK""}","{""ImportId"":""QID23_G4_5_RANK""}","{""ImportId"":""QID23_G4_6_RANK""}","{""ImportId"":""QID23_G4_7_RANK""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_0_GROUP""}","{""ImportId"":""QID25_1_GROUP""}","{""ImportId"":""QID25_2_GROUP""}","{""ImportId"":""QID25_G0_1_RANK""}","{""ImportId"":""QID25_G0_2_RANK""}","{""ImportId"":""QID25_G0_3_RANK""}","{""ImportId"":""QID25_G0_4_RANK""}","{""ImportId"":""QID25_G0_5_RANK""}","{""ImportId"":""QID25_G0_6_RANK""}","{""ImportId"":""QID25_G0_7_RANK""}","{""ImportId"":""QID25_G0_8_RANK""}","{""ImportId"":""QID25_G1_1_RANK""}","{""ImportId"":""QID25_G1_2_RANK""}","{""ImportId"":""QID25_G1_3_RANK""}","{""ImportId"":""QID25_G1_4_RANK""}","{""ImportId"":""QID25_G1_5_RANK""}","{""ImportId"":""QID25_G1_6_RANK""}","{""ImportId"":""QID25_G1_7_RANK""}","{""ImportId"":""QID25_G1_8_RANK""}","{""ImportId"":""QID25_G2_1_RANK""}","{""ImportId"":""QID25_G2_2_RANK""}","{""ImportId"":""QID25_G2_3_RANK""}","{""ImportId"":""QID25_G2_4_RANK""}","{""ImportId"":""QID25_G2_5_RANK""}","{""ImportId"":""QID25_G2_6_RANK""}","{""ImportId"":""QID25_G2_7_RANK""}","{""ImportId"":""QID25_G2_8_RANK""}","{""ImportId"":""QID26""}"
1,R001,2,2,"1,2,3,4,5,6,7,8","1,2,4,7",5,3,2,5,,,1,,,,,1,,,,,,,,,1,,"1,2,3,5,6",2,1,1,"1,2,3,4,5,7","1,3,5,6,8","1,2,3,4",2,2,1,3,4,1,,,,,,,1,,,,,,1,,2,1,6,7,3,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,4,4,7,1,,,,1,,,,,,,,,,,1,,1,,,,,,,,"2,3,4,5,6,7"
1,R002,2,"1,2,3","1,2,3,4,5,6,7,8","1,2,3,4,6,7",5,2,3,1,,1,,,,,,,1,,,,1,,,,,,"2,3,6",2,1,1,"1,2,3,4,6,7","4,5,6,7,8,9","1,2,3,4,5,6",1,1,1,2,3,1,,,,,,1,,,,,,1,,,2,1,3,5,6,,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,3,4,5,7,,,,1,,,,,,,,,1,,,,,,,,,,1,,"1,2,3,4,5,6,7"
1,R003,4,"1,2,3,4,7","1,2,3,4,5,6","2,3,4,6,7","5,8",2,5,3,,1,,,,,,,,,1,,,,1,,,,"1,2,3",1,1,1,"4,5,6,7","4,6,7","1,2,4",1,1,2,1,5,,1,,,,1,,,,,,,,,1,6,7,3,2,"5,1,4",,,,,,1,,,,,,,,1,,,1,,,,,,1,,,,,,2,,,3,1,,,4,4,5,6,,,,1,,,,,,,,,1,,,,,,,,,1,,,"1,2,4,5,6,7"
1,R004,3,"1,2,3,4,5,8","1,2,3,4,5,6,8,9","4,6,7",5,"6,3",2,1,,,2,,,1,,1,,,,,1,,,,,,"2,4,5,6",2,1,1,"2,4,5,7","2,5,7,9","1,2,3,4,6",1,2,1,3,"2,5",1,,,,,,,1,,,,1,,,2,6,3,4,2,1,,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,,,1,,,,,,,2,1,5,6,1,,,,,,,,,,,,1,,,,,,,,,1,,,"1,2,3,4,5,6"
1,R005,4,8,"3,4,8","3,7,8",8,2,5,6,,1,,,,,,,,,1,,,,,,,1,"2,3,6",1,3,1,"1,2,3,4,6,7","2,3","1,2,3,4,5",2,2,5,3,,,,,,1,,,1,,,,,,,,4,3,1,7,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,2,6,7,8,,,,,,1,,,,,,,,,1,,,,,,,,,1,"2,4,5"
1,R006,2,"1,2,3,4","2,4,5,6",8,,6,5,3,,,,,,1,,,,,1,,,,1,,,,"1,2,6",3,1,1,"3,6,7","1,5,8","1,3,4",1,2,4,2,3,,,,1,,,1,,,,,,1,,,4,1,2,5,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,4,5,4,,,,,,1,,,,,,,1,,,,,,,,,,,,,"2,4,5"
1,R007,3,4,"3,4,8","2,6,7","1,6",2,3,5,,1,,,,,,,1,,,,,,,,1,,"2,4",1,1,1,"1,3,5,6,7","5,6,8","1,2,3,4,5",1,2,2,3,1,,1,,,,,,1,,,1,,,,,3,"5,4,6","1,7",2,,,,1,,,,,,,,2,1,3,,1,,,,,,2,,1,,,,,,,,,,,,,2,3,6,7,,,1,,,,,,,,,,,1,,,,,,,,,1,,"1,2,4,5"
1,R008,4,"1,2,8","1,2,3,4,5,6,8,9","1,2,3,4,7,8","5,6",6,1,2,,,,,,1,1,,,,,,,1,,,,,"2,5,6",1,1,1,"1,3,5,6,8","2,3,6,9","1,2,3,4,6",1,1,1,2,3,1,,,,,,1,,,,,,1,,,3,7,4,2,5,,,1,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,1,,,4,1,3,6,1,,,,,,,,,,1,,,,,,,,,,,1,,,"2,4,5,7"
